zestimate.amount,street.name.and.number,zip.code,city,use.code,tax.assessment.year,tax.assessment.value,year.built,lot.size,finished.sqft,bathrooms,bedrooms,region.name,region.type,last.sold.date,last.sold.price,zindex.value
1288171,836 Kodak Dr,90026,Los Angeles,Duplex,2019,438374,1966,3324,2322,4,4,Silver Lake,neighborhood,10/03/2000,255500,991200
595194,505 W 102nd St,90044,Los Angeles,MultiFamily2To4,2019,499392,1943,5749,1920,NA,0,South Los Angeles,neighborhood,08/31/2016,480000,429200
740497,1411 W 213th St,90501,Torrance,SingleFamily,2019,94014,1972,5004,1910,3,4,Harbor Gateway,neighborhood,NA,NA,513600
356044,9305 Croesus Ave,90002,Los Angeles,SingleFamily,2019,106450,1952,3376,741,1,2,Watts,neighborhood,10/01/2009,92000,322300
483028,24700 Broad Ave,90744,Wilmington,SingleFamily,2019,43238,1939,6500,1072,1,3,Wilmington,neighborhood,NA,NA,423700
651675,4617 Paulhan Ave,90041,Los Angeles,SingleFamily,2019,177860,1923,5000,620,1,2,Eagle Rock,neighborhood,12/24/2002,155000,794500
890882,5209 Sylmar Ave,91401,Sherman Oaks,SingleFamily,2019,800700,1950,3935,975,1,2,Sherman Oaks,neighborhood,NA,NA,890000
562502,14273 Grammar Pl,91402,Panorama City,SingleFamily,2019,312440,1948,6951,1656,2,3,Panorama City,neighborhood,04/22/2015,200000,424200
2424334,3450 Laurel Canyon Blvd,91604,Studio City,SingleFamily,2019,1632387,1903,13381,2912,5,5,Studio City,neighborhood,07/22/2016,1569000,1188900
883454,1411 W 17th St,90732,Los Angeles,SingleFamily,2019,667076,1925,5662,1954,3,4,San Pedro,neighborhood,03/07/2003,514000,578000
746922,4928 Escobedo Dr,91364,Woodland Hills,SingleFamily,2019,82664,1953,10374,1334,2,2,Woodland Hills,neighborhood,NA,NA,757200
914837,3815 S Norton Ave,90008,Los Angeles,SingleFamily,2019,749088,1956,5950,1396,2,3,Leimert Park,neighborhood,03/03/2017,720000,683500
596041,1147 Mcfarland Ave,90744,Wilmington,SingleFamily,2019,347134,2006,4009,2078,3,4,Wilmington,neighborhood,08/12/2009,300000,423700
1077416,1459 Tamarind Ave,90028,Los Angeles,SingleFamily,NA,NA,1921,4805,1612,NA,0,Hollywood,neighborhood,12/27/2016,700000,744100
929931,10102 Wheatland Ave,91040,Sunland,SingleFamily,2019,548238,1932,107593,2300,3,4,Shadow Hills,neighborhood,NA,NA,NA
664420,5368 Village Grn,90016,Los Angeles,Condominium,2019,220000,1942,557237,1100,1,2,Crenshaw,neighborhood,05/22/1991,150000,654800
846505,5824 Burwood Ave,90042,Los Angeles,SingleFamily,2019,801000,1948,5880,1536,2,3,Highland Park,neighborhood,08/14/2018,801000,700300
455936,828 W Imperial Hwy,90044,Los Angeles,SingleFamily,2019,290573,1930,5331,1114,1,2,South Los Angeles,neighborhood,07/31/1996,130000,429200
534233,1634 W 59th Pl,90047,Los Angeles,SingleFamily,2019,264149,1986,3358,1548,2,4,South Los Angeles,neighborhood,05/23/2011,230000,429200
694544,4447 Van Horne Ave,90032,Los Angeles,SingleFamily,2019,46514,1925,6182,1154,1,2,El Sereno,neighborhood,NA,NA,481700
633676,2029 Vineburn Ave,90032,Los Angeles,SingleFamily,2019,243381,1941,5491,1026,1,2,El Sereno,neighborhood,NA,NA,481700
552372,13184 Branford St,91331,Arleta,SingleFamily,2019,290010,1953,8880,1615,2,3,Arleta,neighborhood,04/04/2002,219000,456400
772314,2118 Mcpherson Ave,90032,Los Angeles,SingleFamily,2019,665855,1941,5850,2118,NA,4,El Sereno,neighborhood,09/15/2016,640000,481700
696628,6635 Rubio Ave,91406,Van Nuys,SingleFamily,2019,390484,1950,6098,1584,2,3,Lake Balboa,neighborhood,10/26/2010,340000,546200
623647,1300 N Meyler St,90731,San Pedro,SingleFamily,2019,384293,1963,6603,1618,2,4,San Pedro,neighborhood,11/21/2019,610000,578000
832927,2425 S Corning St,90034,Los Angeles,SingleFamily,2019,754290,1931,5497,1330,1,2,Crestview,neighborhood,06/06/2017,725000,1008400
2066165,5636 Tuxedo Ter,90068,Los Angeles,SingleFamily,2019,1127052,1968,4944,2600,4,4,Hollywood Hills,neighborhood,NA,NA,1755600
514024,13557 Corcoran St,91340,San Fernando,SingleFamily,2019,403257,1956,6054,1128,2,4,Pacoima,neighborhood,10/20/2015,380000,429400
548639,21320 Stanwell St,91311,Chatsworth,SingleFamily,2019,658920,1977,9548,2326,3,4,Chatsworth,neighborhood,12/20/2017,500000,613700
1466000,1152 Van Buren Ave,90291,Venice,SingleFamily,2019,887177,1928,3172,1180,1,3,Venice,neighborhood,09/09/2004,710000,1538600
1717291,12043 Goshen Ave,90049,Los Angeles,SingleFamily,2019,106765,1947,6049,1112,2,2,Brentwood,neighborhood,NA,NA,2404000
473007,1538 W 52nd St,90062,Los Angeles,SingleFamily,2019,153558,1913,5423,1027,1,2,South Los Angeles,neighborhood,04/04/1995,102000,429200
625762,922 Nolden St,90042,Los Angeles,Townhouse,NA,NA,NA,NA,NA,1,1,Highland Park,neighborhood,NA,NA,700300
554188,1419 Lomita Blvd UNIT 3,90710,Harbor City,SingleFamily,NA,NA,2005,79261,1456,4,3,Harbor City,neighborhood,03/03/2016,455000,543400
751455,11265 Garden Grove Ave,91326,Porter Ranch,SingleFamily,2019,238840,1965,11080,1762,2,4,Northridge,neighborhood,07/20/1979,120000,676300
611060,20250 Mobile St,91306,Winnetka,SingleFamily,2019,605000,1955,7499,1329,2,4,Winnetka,neighborhood,09/03/1999,186000,527400
805448,23519 Balmoral Ln,91307,West Hills,SingleFamily,2019,502921,1961,17189,1846,4,4,West Hills,neighborhood,05/08/1992,300000,651200
492312,1331 W Cruces St,90744,Wilmington,SingleFamily,2019,259000,1962,5250,1392,2,3,Wilmington,neighborhood,07/15/1993,170000,423700
1092424,23510 Burbank Blvd,91367,Woodland Hills,SingleFamily,2019,692637,1961,11761,2730,3.5,4,Woodland Hills,neighborhood,02/06/2009,505000,757200
